Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   559142    0.047    0.000    0.047    0.000 {method 'append' of 'list' objects}
   200305    0.020    0.000    0.020    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:21(getDefendingTroops)
   151735   35.290    0.000   35.290    0.000 {method 'blit' of 'pygame.Surface' objects}
   151692    0.050    0.000    0.050    0.000 {method 'get_rect' of 'pygame.Surface' objects}
   150108    0.506    0.000    0.506    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
   149864    1.010    0.000    1.010    0.000 {built-in method pygame.transform.scale}
   149863    0.017    0.000    0.017    0.000 {method 'get_width' of 'pygame.Surface' objects}
   149863    0.014    0.000    0.014    0.000 {method 'get_height' of 'pygame.Surface' objects}
   149856    0.294    0.000   16.744    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GraphicalMap.py:11(scaleAndBlit)
    78391    0.354    0.000    0.389    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:53(getHostileTerritoryNeighbours)
    77315    0.048    0.000    0.048    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:365(sprites)
    77194    0.021    0.000    0.021    0.000 {method 'index' of 'list' objects}
    76167    0.064    0.000    0.453    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:66(set_bst)
    76167    0.028    0.000    0.036    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:72(set_bsr)
    74970    0.162    0.000    5.954    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Piece.py:38(updateDefaults)
    74970    5.779    0.000    5.779    0.000 {built-in method pygame.mask.from_surface}
    74960    0.414    0.000    0.414    0.000 {method 'copy' of 'pygame.Surface' objects}
    74928    0.100    0.000    6.112    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Piece.py:33(updatePiece)
    74928    0.112    0.000    0.112    0.000 {method 'render' of 'pygame.font.Font' objects}
    60480    0.006    0.000    0.006    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:157(<lambda>)
    29453    0.004    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:21(<lambda>)
26195/25417    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    21408    0.007    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:108(alive)
    21408    0.003    0.000    0.003    0.000 {built-in method _operator.truth}
    20068    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
    12082    0.004    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
    11531    0.003    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:121(_get_visible)
    11531    0.006    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:133(visible)
    10910    0.003    0.000    0.006    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:254(get)
    10758    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:193(rect)
    10116    0.001    0.000    0.001    0.000 {built-in method _operator.index}
    10080    0.002    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:51(<lambda>)
     8920    0.008    0.000    0.021    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:671(update)
     8509    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     8497    0.002    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:32(<lambda>)
     8044    0.012    0.000    0.044    0.000 {built-in method builtins.sorted}
     8002    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     7781    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     7515    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     7186    0.002    0.000    0.002    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
     7136    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:320(get_mouse_position)
     6632    0.027    0.000    0.034    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:11(get_territories)
     6504    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:105(<lambda>)
     5980    0.040    0.000    0.559    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:41(set_bsrs_bsts)
     5422    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5379    0.001    0.000    0.001    0.000 {method 'copy' of 'pygame.Rect' objects}
     5368    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:920(get_image_clipping_rect)
     5361    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:67(get_rect)
     5356    0.013    0.000    0.021    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:769(hover_point)
     5352    0.007    0.000    0.032    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:253(check_hover)
     5298    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5113    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     5074    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
     5016    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     4606    0.008    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:1001(get_sprites_from_layer)
     4585    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     4518    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
     4458    0.006    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
     4231    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:18(getNonDefendingTroops)
     3799    0.001    0.000    0.009    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:72(<genexpr>)
     3568    0.011    0.000    0.018    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:702(check_hover)
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:50(update)
     3568    0.006    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:297(update)
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:426(has_fresh_surface)
     3555    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     3372    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     3372    0.005    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:292(randrange)
     3372    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     3330    0.002    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:366(randint)
     3306    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:158(<genexpr>)
     2817    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:79(<lambda>)
     2580    0.460    0.000    0.460    0.000 {built-in method builtins.print}
2552/2548    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
     2392    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
     2303    0.007    0.000    0.012    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:902(layers)
     2303    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     2303    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
     2271    0.008    0.000    0.223    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:19(set_border_countries)
     2202    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2174    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
     2016    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1998    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     1956    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:24(canAttack)
     1956    0.004    0.000    0.006    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:31(getHostileTerritoryNeighbours)
