Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   151735   35.290    0.000   35.290    0.000 {method 'blit' of 'pygame.Surface' objects}
    74970    5.779    0.000    5.779    0.000 {built-in method pygame.mask.from_surface}
   149864    1.010    0.000    1.010    0.000 {built-in method pygame.transform.scale}
     1784    0.603    0.000    0.603    0.000 {built-in method pygame.display.flip}
   150108    0.506    0.000    0.506    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
     1784    0.483    0.000    0.483    0.000 {method 'blits' of 'pygame.Surface' objects}
     2580    0.460    0.000    0.460    0.000 {built-in method builtins.print}
    74960    0.414    0.000    0.414    0.000 {method 'copy' of 'pygame.Surface' objects}
     1784    0.380    0.000   45.329    0.025 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:273(onRender)
    78391    0.354    0.000    0.389    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:53(getHostileTerritoryNeighbours)
   149856    0.294    0.000   16.744    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GraphicalMap.py:11(scaleAndBlit)
    74970    0.162    0.000    5.954    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Piece.py:38(updateDefaults)
    74928    0.112    0.000    0.112    0.000 {method 'render' of 'pygame.font.Font' objects}
     1784    0.112    0.000    0.112    0.000 {built-in method pygame.event.get}
    74928    0.100    0.000    6.112    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Piece.py:33(updatePiece)
      253    0.068    0.000    0.068    0.000 {built-in method pygame.image.load}
    76167    0.064    0.000    0.453    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:66(set_bst)
   151692    0.050    0.000    0.050    0.000 {method 'get_rect' of 'pygame.Surface' objects}
